"keys","en"
"QFWS","Frozen Mushroom"
"J6B7","Deep Frozen Mushroom"
"3TWV","Utterly Frozen Mushroom"
"4H8X","Devastatingly Frozen Mushroom"
"WWC0","Nuclear Missile Launcher"
"SHZL","Priest"
"V73T","Experienced Priest"
"N5TW","Holy Priest"
"76YW","Divine Priest"
"SNQY","Forest Archer"
"MGTN","Forest Ranger"
"PO6F","Forest Amazon"
"3954","Lightning Totem"
"EWEF","Old Lightning Totem"
"SYEW","Ancient Lightning Totem"
"KQCK","Sacred Altar"
"X111","Rowing Boat"
"UXDC","Frigate"
"9FF0","Battleship"
"5A5T","Destroyer"
"665Z","Tentacle"
"5ORT","Starving Tentacle"
"HQF9","Rending Tentacle"
"XCZ1","Revenging Tentacle"
"DELC","Giant Tentacle"
"WFE7","Basic Knowledge"
"NW8W","Accumulated Knowledge"
"SM4T","Small Library"
"WP8S","Library"
"0BBF","Elder Library"
"GS8R","Miner"
"R2GY","Advanced Wooden Trap"
"79UT","Iron Trap"
"BPBB","Advanced Iron Trap"
"1OWC","Steel Trap"
"G5A7","Healing Monument"
"D3IM","Healing Altar"
"SMW1","Healing Shrine"
"B6SV","Fiery Stone"
"ZNVJ","Citadel of Souls"
"XUZS","Necropolis of Souls"
"FO3B","Hall of Souls"
"DOEC","Tree Trunk"
"KV8Y","Tree"
"GRFI","Tree Group"
"OY4G","Forest"
"UTNY","Ruined Monolith"
"E6HC","Monolith"
"BERN","Enchanted Monolith"
"00KS","Monolith of Lightning"
"4CZ9","Monolith of Thunder"
"IHIC","Monolith of the Gathering Storm"
"2MQ2","Icy Spirit"
"8V29","Plagued Crypt"
"QUQF","Chilled Spirit"
"HMQ1","Frozen Spirit"
"61CP","Dreadlord"
"GS44","Lich King"
"A4T3","Rotted Flashing Grave"
"EUS1","Planar Gate"
"IRSB","Garden of Eden"
"5T1H","Fiery Rock"
"ZNNN","Sewer Connection"
"0NQT","Broken Pipeline"
"X1N5","Chemical Center"
"88E6","Contaminated Hitch"
"UJZ1","Burning Watchtower"
"6K6R","Burning Sentry"
"VTO7","Burning Outpost"
"GMNQ","Burning Fortress"
"4H1A","Sniper"
"H4P3","Skilled Sniper"
"XP5H","Sniper Nest"
"FQLW","Fortified Sniper Nest"
"7R5R","Sun Crusader"
"OPNZ","Sun Paladin"
"V7TR","Restored Flashing Grave"
"7KEF","Maintenanced Flashing Grave"
"KQ55","Elegant Flashing Cenotaph"
"B00C","Flashing Monument"
"AYS7","Flashing Cenotaph"
"GVSD","Baby Plant"
"69LF","Small Plant"
"A647","Plant"
"7R5U","Growing Plant"
"WERM","Fast Growing Plant"
"S933","Mutating Plant"
"T66C","Flourishing Chasm"
"YBCV","Rooted Chasm"
"PV0V","Blooming Chasm"
"Y9G9","Cultivated Chasm"
"FLRT","Polar Bear Cub"
"FNW6","Frosty Rock"
"SK6I","Frozen Rock"
"EKZM","Glacier Tongue"
"ZYJN","Lonely Miner"
"YNM1","Fortunate Miner"
"LUMB","Greyfang"
"73OT","Fenced Flames"
"ST03","Enclosed Flames"
"OVMN","Burning Inside"
"RV4Q","Crucibled Flames"
"OKJ6","Basic nature tower with a slightly increased chance to critical strike."
"ZIOZ","Basic tower with low splash damage"
"2S1C","Playful Faerie-Dragon that uses mana to its advantage."
"7KWB","This statue is haunted by lost souls."
"R21W","The spirit of a watcher left to look over the ruins."
"WJ30","This statue is haunted by lost souls."
"LBPY","This statue is haunted by lost souls."
"QYFH","This statue is haunted by lost souls."
"O0ZC","Fast tower that is focused on dealing damage while cooling itself down."
"OSI8","Fast tower that is focused on dealing damage while cooling itself down."
"KLME","Some magic still sparkles inside these ruins."
"9R56","Some magic still sparkles inside these ruins."
"F5CT","Some magic still sparkles inside these ruins."
"FNVC","Some magic still sparkles inside these ruins."
"V2PJ","Some magic still sparkles inside these ruins."
"S3YO","Some magic still sparkles inside these ruins."
"1G42","A small, high rate of fire tower"
"PCVB","A medium sized, high rate of fire tower"
"6ES6","A big, high rate of fire tower"
"TRJR","A grand, high rate of fire tower"
"Y2DY","A huge, high rate of fire tower"
"UBQ4","A titanic, high rate of fire tower"
"58RV","An elven mage who has devoted his entire life to the study of time."
"YJ2Q","A small colony of bugs."
"BON8","A colony of bugs."
"BI2Z","A large colony of bugs."
"5KNN","A huge colony of bugs."
"ELV5","Tower with a chance to cast an ice nova."
"DM0C","Tower with a chance to cast an ice nova."
"F6AU","Tower with a chance to cast an ice nova."
"P6KS","A powerful iron tower that will go to great lengths to defend its territory."
"PL5E","A powerful iron tower that will go to great lengths to defend its territory."
"3D0G","A powerful iron tower that will go to great lengths to defend its territory."
"NWGO","When you think it looks very fragile, you're right. But its also a devastating machine."
"TN0M","Basic tower with low splash damage"
"63PT","An old relic from the time of the first war against the burning legion. It brings pure chaos to everything around it."
"G0C6","Unique Tower that is able to backtrack creeps in time and changes timelines to benefit other towers by increasing their triggerchances."
"3VB9","An ancient building, storing the power of storms."
"33CV","Rare tower with a chance to turn lesser creeps into gold instantly. Gains additional gold for each kill and will do more damage the more gold you have."
"RBLI","Rare tower with a chance to turn lesser creeps into gold instantly. Gains additional gold for each kill and will do more damage the more gold you have."
"0UEM","A tiny desert plant with a high AoE. Slightly more efficient against mass creeps and humans."
"1CQH","A pricklier desert plant with a high AoE. Moderately more efficient against mass creeps and humans."
"J6CW","A troublesome desert plant with a high AoE. Moderately more efficient against mass creeps and humans."
"48B8","A troublesome desert plant with a high AoE. Efficient against mass creeps and humans."
"6E75","A lethal desert plant with a high AoE. Very efficient against mass creeps and humans."
"EVJV","A powerful vortex with the ability to move things through space itself."
"UE94","Advanced nature tower that will deal damage in an AoE around itself and will slow damaged targets. Also gives nearby towers a chance to deal damage and slow targets in an AoE around itself."
"WE3V","Advanced Nature tower that is able to release a spray of thorns from it's back."
"QFCJ","The spirit of a watcher left to look over the ruins."
"QDFC","The spirit of a watcher left to look over the ruins."
"TW0C","The spirit of a watcher left to look over the ruins."
"PRYW","A prickly desert plant with a high AoE. Slightly more efficient against mass creeps and humans."
"XH6E","Uncommon astral tower that deals spell damage equal to its attack every time the tower attacks."
"XS11","This tower uses its lightning powers to help its allies."
"O8TG","Uncommon astral tower that deals spell damage equal to its attack every time the tower attacks."
"B0RE","Uncommon astral tower that deals spell damage equal to its attack every time the tower attacks."
"E5NZ","Uncommon astral tower that deals spell damage equal to its attack every time the tower attacks."
"TUIU","Tower with a chance to cast an ice nova."
"FLKG","Not very experienced mage of elements."
"1LPT","Let all who live in the world stand in awe of him."
"QS4R","Really experienced mage of elements."
"F4NA","Little more experienced mage of elements."
"VRUB","The mechanical version of the other two dragon roosts."
"U3V2","Advanced Nature tower that is able to release a spray of thorns from it's back."
"PWQO","Advanced Nature tower that is able to release a spray of thorns from it's back."
"4QEB","This Black Rock structure makes nearby warriors unstoppable."
"95W4","Advanced tower that attacks multiple targets at once and burns them, increasing other fire towers damage and dealing some damage over time."
"90ZV","Advanced tower that attacks multiple targets at once and burns them, increasing other fire towers damage and dealing some damage over time."
"U7RQ","Advanced tower that attacks multiple targets at once and burns them, increasing other fire towers damage and dealing some damage over time."
"GRAT","The hounds of war are howling again."
"96X3","Fills the air with pure sunlight weakening all enemies in its vicinity."
"LQS4","Fills the air with pure sunlight weakening all enemies in its vicinity."
"8GF2","The hounds of war are howling again."
"447I","The hounds of war are howling again."
"QN8K","The hounds of war are howling again."
"BO87","The hounds of war are howling again."
"XRZ7","This igloo emits an extreme amount of cold, slowing and stunning creeps around it."
"D9R4","This igloo emits an extreme amount of cold, slowing and stunning creeps around it."
"2EV3","This igloo emits an extreme amount of cold, slowing and stunning creeps around it."
"25N3","A strong tower against the undead."
"EYH2","A strong tower against the undead."
"DPTR","A strong tower against the undead."
"UNR1","Only seen above the highest clouds, this rare creature sears the sky."
"1ZK0","Rare Astral tower with a chance on each attack to create a wave of light that damages enemies."
"UXJQ","Rare Astral tower with a chance on each attack to create a wave of light that damages enemies."
"304U","Rare Astral tower with a chance on each attack to create a wave of light that damages enemies."
"PP40","Only seen above the highest clouds, this rare creature sears the sky."
"PR2K","Only seen above the highest clouds, this rare creature sears the sky."
"PIWN","Only seen above the highest clouds, this rare creature sears the sky."
"O06F","Only seen above the highest clouds, this rare creature sears the sky."
"1ZMP","Lesser darkness tower that increases the damage of its target taken by darkness towers."
"2PS5","Lesser darkness tower that increases the damage of its target taken by darkness towers."
"M7VX","Higher darkness tower that increases the efficiency of other nearby darkness towers."
"EPKK","Lesser astral tower that buffs a nearby tower, increasing its mana regeneration, maximum mana and spell damage dealt."
"DL0S","Lesser astral tower that buffs a nearby tower, increasing its mana regeneration, maximum mana and spell damage dealt."
"XYXS","Lesser astral tower that buffs a nearby tower, increasing its mana regeneration, maximum mana and spell damage dealt."
"L2B3","Lesser astral tower that buffs a nearby tower, increasing its mana regeneration, maximum mana and spell damage dealt."
"XUHJ","These giant creatures wander the dry tundras of the world."
"K174","Support tower which only attacks air. Buffs other units attack speed and adds some spell and normal damage."
"T12G","This frozen well emits an enormous amount of cold."
"I6AG","Shh...Silence is Golden..."
"EWJE","A cute small spider. Ugh... It spat at me!"
"P5OH","These giant creatures wander the dry tundras of the world."
"VX3X","These giant creatures wander the dry tundras of the world."
"XXBL","These giant creatures wander the dry tundras of the world."
"7NK7","These giant creatures wander the dry tundras of the world."
"XWEV","Darkness tower that is weak against Undead units, but strong against Magic creeps. The tower can also hit multiple units on each attack."
"FORI","Trained in the shadows, the thief is an expert in finding gold."
"SHEA","Trained in the shadows, the thief is an expert in finding gold."
"2H6K","Trained in the shadows, the thief is an expert in finding gold."
"C7F7","Trained in the shadows, the thief is an expert in finding gold."
"4ML0","Some people think the purling noise of a river is calming."
"5AEE","Trained in the shadows, the thief is an expert in finding gold."
"41PY","'Try out my Voodoo maaan.' credits to der_kleine_Tomy "
"3JUE","A field which is able to gather energy from spells."
"Z0KO","A field which is able to gather energy from spells."
"P8SF","Minor astral tower."
"1YXJ","Minor astral tower."
"2A4B","Minor astral tower."
"PZEJ","Minor astral tower."
"QESB","Something might hatch here soon...ish"
"PEB9","A sleeping geyser that only sprouts fire now and then."
"S41R","This deadly thing was invented by the dwarves to aid them in the long war against the orcs. However they never ended up using it, as it consumes far too much energy."
"4AFE","This deadly thing was invented by the dwarves to aid them in the long war against the orcs. However they never ended up using it, as it consumes far too much energy.The second generation can be the end of the world..."
"GD6V","Sometimes even the most fruitless places still have some treasure left."
"X6HN","Sometimes even the most fruitless places still have some treasure left."
"4MH5","Sometimes even the most fruitless places still have some treasure left."
"NN79","Sometimes even the most fruitless places still have some treasure left."
"D56Y","Sometimes even the most fruitless places still have some treasure left."
"W883","Advanced storm tower that emphasizes the use of anti air towers."
"AGYA","Powerful mage who is adept in using the water magics."
"3QVL","Daemonic entity that will stun allied towers and temporarily steal their damage for itself and will threaten nearby units by occasionally releasing shadowbolt waves."
"5BSC","Daemonic entity that will stun allied towers and temporarily steal their damage for itself and will threaten nearby units by occasionally releasing shadowbolt waves. Also suppresses lifeforce killing too weak enemies instantly."
"1UWL","A mysterious Ghost, which deals different damage types."
"B9T7","A mysterious Ghost, which deals different damage types."
"34J7","A mysterious Ghost, which deals different damage types."
"WNKU","A mysterious Ghost, which deals different damage types."
"ZVH4","A mysterious Ghost, which deals different damage types."
"WTMA","Ancient and greedy Wyrm which takes away most of your goldgain."
"5ERT","Legendary fel orc berserker, he is the ultimate fighter."
"0RVF","A very powerful gun created by the dwarves. It has a chance to fire a burst of projectiles."
"M6QV","Loves to brain unsuspecting units with his snowballs."
"HKJL","Even more of a menace than the child."
"82V3","Still uses childish tactics."
"T756","Summoner of storms and rain. Harpies are known for their brutality and mercilessness."
"O94O","Summoner of storms and rain. Harpies are known for their brutality and mercilessness."
"51LJ","A phoenix which can burn more than 1 target with its attacks."
"7LBP","A phoenix which can burn more than 1 target with its attacks."
"BZSP","A phoenix which can burn more than 1 target with its attacks."
"ATFH","Can still grow even in the coldest places."
"R1SP","Can still grow even in the coldest places."
"7351","Can still grow even in the coldest places."
"WR6T","Can still grow even in the coldest places."
"V2PB","Can still grow even in the coldest places."
"O6EC","Can still grow even in the coldest places."
"YDOX","Strange tower that rejects some items."
"3TIY","WC2 wasn't enough."
"NM2Y","Empowers you against the alien menace. Model credits: SirCoqaLot plus mOck and MasterCassim."
"438G","Faster than the wind, faster than Sonic, even faster than light! "
"YQN1","I make your dreams come true."
"LFP7","Careful, corrosive."
"GTJ3","Careful, corrosive."
"VBI4","Careful, corrosive."
"FIZY","Careful, corrosive."
"JQBI","A combination of decaying body parts and the presence of an unfathomable evil create a pillar of darkness within this crypt to form a reliable attack and the ability to explode corpses."
"27ZX","Tower with a chance to slow the movement speed of a unit on attacks."
"CNY6","Whatever you do, do not make eye contact."
"1NHT","This tower is able to extract experience from creeps and energy from spells."
"JQW2","Sometimes hits its targets in a weak spot, leaving them rended."
"QOUG","A mighty Warbeast that will sometimes devour units to strengthen nearby allies and lets fall some dung in a close area."
"YLI9","A combination of decaying body parts and the presence of an unfathomable evil create a pillar of darkness within this crypt to form a reliable attack and the ability to explode corpses."
"8IOB","A combination of decaying body parts and the presence of an unfathomable evil create a pillar of darkness within this crypt to form a reliable attack and the ability to explode corpses."
"QRVE","A combination of decaying body parts and the presence of an unfathomable evil create a pillar of darkness within this crypt to form a reliable attack and the ability to explode corpses."
"01GH","It's small and ... UGLY!"
"URQP","I can not describe this spider, but at least it doesn't spit at me."
"XA9P","Ah..A grown up exemplar! But it appears that it doesn't want to get disturbed."
"T1QF","Support tower which only attacks air. Buffs other units attack speed and adds some spell and normal damage."
"7FV4","Support tower which only attacks air. Buffs other units attack speed and adds some spell and normal damage."
"TZLN","Darkness tower that is weak against Undead units, but strong against Magic creeps. The tower can also hit multiple units on each attack."
"WR3E","Darkness tower that is weak against Undead units, but strong against Magic creeps. The tower can also hit multiple units on each attack."
"4712","Darkness tower that is weak against Undead units, but strong against Magic creeps. The tower can also hit multiple units on each attack."
"S3MV","Darkness tower that is weak against Undead units, but strong against Magic creeps. The tower can also hit multiple units on each attack."
"KKNS","A Small young witch..."
"4EOA","Yes, she is scary."
"5BQS","What's the thing around my ankle? Ohh that, that are the hands of one of my minions."
"B1OU","A burrow with Peons inside, which will try to break through every armor."
"B3NM","A burrow with Troll Head Hunters inside, which will try to break through every armor."
"49ET","A burrow with Troll Berserkers inside, which will break through every armor."
"KJ6S","A burrow with elite Peons inside, which will try to break through every armor."
"MT9R","Strong spell damage tower which gets stronger with experience. Can even damage immune units with it's spells."
"5U0M","Strong spell damage tower which gets stronger with experience. Can even damage immune units with it's spells."
"35GJ","Driven by zealotry, this unit is exceptionally good in physical combat."
"SNDT","Driven by zealotry, this unit is exceptionally good in physical combat."
"78CN","Driven by zealotry, this unit is exceptionally good in physical combat."
"EIHR","Driven by zealotry, this unit is exceptionally good in physical combat."
"D5TM","Selfish creature, harbinger of the void."
"4G6X","A tower which transforms solar-energy in to pure force."
"6QS2","A tower which transforms solar-energy in to pure force."
"0106","Zeus, the God of Thunder, is able to invoke massive lighting storms."
"1KYG","This enormous creature is able to crush everything with its enormous hands."
"AU49","A highly esteemed foot soldier with low self esteem."
"3C06","Converts energy into pure destruction! "
"9HGT","The fire of the demon Nerz'ragul destroyed half of the world. After years the mighty spellcaster Theradom caged it in a magical circle."
"M7IM","The fire of the demon Nerz'ragul destroyed half of the world. After years the mighty spellcaster Theradom caged it in a magical circle."
"ZUF4","An ancient Obelisk. Some powers are hidden here, but something seems wrong. Maybe it just has to warm up a bit."
"C17Y","A very old Altar of an ancient religion. Still imbued with the power of the gods, maybe you should wake them up."
"JZY3","An old Shrine of an ancient religion. Numerous humans prayed on this, leading to immense power. Maybe you should pray!"
"W4TP","An old Dome of an ancient religion. Numerous congregations were hold in this, enchanting it with immense power. Congregate and awake the ancient powers!"
"JBZB","The Sanctuary of an old religion. Uncountable prayers led to the power of this. Even more prayers needed to awake the powers!"
"L6WB","Brrizzl fizzl."
"4ZXS","Am I a man? So can I be called fisherman?"
"5KX2","A fighter skilled in both physical and magical attacks."
"10WS","A fighter skilled in both physical and magical attacks."
"M6BC","Emanates the brightest light ever created."
"2OAT","Standing on a snowy peak, he's watched the world below for decades."
"MCJS","An unsightly being from a distant realm, adept in performing daemonic rituals and casting nasty curses."
"70HK","Can fire different bombs for a great versatility."
"ZI35","Can fire different bombs for a great versatility."
"VBXF","Accelerates particles from within a minute anti-gravity field. These particles destroy mana."
"NC1S","This mystical crystal can link souls together."
"31RL","Aura tower with a damage bonus aura."
"QEH7","This mystical crystal can link souls together."
"1BH7","It's said that the black dragons are the reaper's mounts."
"BUA0","Aura tower with a damage bonus aura."
"IWGJ","This tower uses magical flames to strike multiple targets."
"0OHO","This tower uses magical flames to strike multiple targets."
"NZC6","This tower uses magical flames to strike multiple targets."
"H6EI","This tower uses magical flames to strike multiple targets."
"R7RZ","This tower uses magical flames to strike multiple targets."
"867J","A storm tower that releases a magic lighting bolt."
"RSFX","A storm tower that releases a magic lighting bolt."
"1Z9I","A storm tower that releases a magic lighting bolt."
"NUPA","A storm tower that releases a magic lighting bolt."
"RZ88","A storm tower that releases a magic lighting bolt."
"YAN8","Roaming on the Frozen Wastes, the Magna seeks new challenges to beat."
"1Z7P","Roaming on the Frozen Wastes, the Magna seeks new challenges to beat."
"SQQT","Roaming on the Frozen Wastes, the Magna seeks new challenges to beat."
"P6SR","Roaming on the Frozen Wastes, the Magna seeks new challenges to beat."
"1MTA","Roaming on the Frozen Wastes, the Magna seeks new challenges to beat."
"O6GY","A friendly creature as long as you don't make it angry. Unfortunately it gets angry pretty fast."
"ROVO","Advanced tower that will critical strike if it is has enough mana."
"V32H","Do you hear the howl of the storm?"
"2NY8","Do you hear the howl of the storm?"
"R8TU","Do you hear the howl of the storm?"
"VZKI","Do you hear the howl of the storm?"
"UVIS","A friendly and cuddly creature as long it isn't angry. Unfortunately it is always angry whenever it ain't sleeping."
"SC8B","Do you hear the howl of the storm?"
"PNCR","Selfish creature, harbinger of the void."
"VKXW","Wanders in the cold northern lands, looking for preys."
"T358","Wanders in the cold northern lands, looking for preys."
